[2025-12-12 03:04:05,293][accelerate.accelerator][INFO] - Saving current state to experiments/noise_distillation/checkpoints/epoch_11
[2025-12-12 03:04:05,850][accelerate.checkpointing][INFO] - Model weights saved in experiments/noise_distillation/checkpoints/epoch_11/model.safetensors
[2025-12-12 03:04:05,896][accelerate.checkpointing][INFO] - Optimizer state saved in experiments/noise_distillation/checkpoints/epoch_11/optimizer.bin
[2025-12-12 03:04:05,899][accelerate.checkpointing][INFO] - Scheduler state saved in experiments/noise_distillation/checkpoints/epoch_11/scheduler.bin
[2025-12-12 03:04:05,899][accelerate.checkpointing][INFO] - Sampler state for dataloader 0 saved in experiments/noise_distillation/checkpoints/epoch_11/sampler.bin
[2025-12-12 03:04:05,900][accelerate.checkpointing][INFO] - Sampler state for dataloader 1 saved in experiments/noise_distillation/checkpoints/epoch_11/sampler_1.bin
[2025-12-12 03:04:05,902][accelerate.checkpointing][INFO] - Gradient scaler state saved in experiments/noise_distillation/checkpoints/epoch_11/scaler.pt
[2025-12-12 03:04:05,904][accelerate.checkpointing][INFO] - Random states saved in experiments/noise_distillation/checkpoints/epoch_11/random_states_0.pkl
[2025-12-12 03:04:05,905][accelerate.checkpointing][INFO] - Saving the state of NoiseTrainer to experiments/noise_distillation/checkpoints/epoch_11/custom_checkpoint_0.pkl
[2025-12-12 03:04:05,919][accelerate.accelerator][INFO] - Saving current state to experiments/noise_distillation/checkpoints/best
[2025-12-12 03:04:06,457][accelerate.checkpointing][INFO] - Model weights saved in experiments/noise_distillation/checkpoints/best/model.safetensors
[2025-12-12 03:04:06,500][accelerate.checkpointing][INFO] - Optimizer state saved in experiments/noise_distillation/checkpoints/best/optimizer.bin
[2025-12-12 03:04:06,502][accelerate.checkpointing][INFO] - Scheduler state saved in experiments/noise_distillation/checkpoints/best/scheduler.bin
[2025-12-12 03:04:06,502][accelerate.checkpointing][INFO] - Sampler state for dataloader 0 saved in experiments/noise_distillation/checkpoints/best/sampler.bin
[2025-12-12 03:04:06,502][accelerate.checkpointing][INFO] - Sampler state for dataloader 1 saved in experiments/noise_distillation/checkpoints/best/sampler_1.bin
[2025-12-12 03:04:06,504][accelerate.checkpointing][INFO] - Gradient scaler state saved in experiments/noise_distillation/checkpoints/best/scaler.pt
[2025-12-12 03:04:06,505][accelerate.checkpointing][INFO] - Random states saved in experiments/noise_distillation/checkpoints/best/random_states_0.pkl
[2025-12-12 03:04:06,506][accelerate.checkpointing][INFO] - Saving the state of NoiseTrainer to experiments/noise_distillation/checkpoints/best/custom_checkpoint_0.pkl
[2025-12-12 03:04:06,507][accel_hydra.utils.logging.experiments/noise_distillation//train.log][INFO] - training epoch 11 ended
